code collectivite,LIBGEO,dsu,dsr,dnp,solde_fpic,fsrif,perequations,recette_avantp,MONTANT,avantp_hab,apresp_hab
01001,L'Abergement-Clémenciat,0,18911,20350,0,0,39261,438377.83,477638.83,558.4430955414012,608.4571082802548
01002,L'Abergement-de-Varey,0,8647,0,-2666,0,5981,185821.58,191802.58,771.0439004149378,795.8613278008298
01004,Ambérieu-en-Bugey,315790,0,0,-212447,0,103343,14740888.64,14844231.64,1012.6323170983032,1019.7315133612695
01005,Ambérieux-en-Dombes,0,27574,9954,0,0,37528,1043341.56,1080869.56,629.2771773220749,651.9116767189386
01006,Ambléon,0,2720,950,0,0,3670,113908.73,117578.73,990.5106956521739,1022.4237391304348
01007,Ambronay,0,41480,0,-33185,0,8295,1958958.77,1967253.77,731.5006609410008,734.5981217326363
01008,Ambutrix,0,7767,0,-9086,0,-1319,407869.34,406550.34,533.8603926701571,532.1339528795812
01009,Andert-et-Condon,0,5901,0,0,0,5901,172250.36,178151.36,496.3987319884726,513.4044956772334
01010,Anglefort,0,39679,0,0,0,39679,1499050.85,1538729.85,1292.2852155172416,1326.49125
01011,Apremont,0,12627,0,0,0,12627,377735.45,390362.45,932.6801234567902,963.857901234568
01012,Aranc,0,20366,0,-3512,0,16854,320665.79,337519.79,965.860813253012,1016.6258734939759
01013,Arandas,0,7950,5468,-963,0,12455,253049.40000000002,265504.4,1562.0333333333335,1638.9160493827162
01014,Arbent,0,29796,0,0,0,29796,4945489.5,4975285.5,1399.7988961222757,1408.2325219360316
01015,Arboys en Bugey,0,20284,0,0,0,20284,396768.93,417052.93,610.4137384615384,641.6198923076923
01016,Arbigny,0,13330,7591,0,0,20921,328254.07,349175.07,735.9956726457399,782.9037443946188
01017,Argis,0,38474,17758,-2165,0,54067,397131.89,451198.89,904.628451025057,1027.7879043280182
01019,Armix,0,0,0,0,0,0,114427.19,114427.19,4975.095217391305,4975.095217391305
01021,Ars-sur-Formans,0,18805,9174,0,0,27979,771451.59,799430.59,551.03685,571.02185
01022,Artemare,0,55270,0,0,0,55270,1012874.02,1068144.02,834.3278583196046,879.8550411861614
01023,Asnières-sur-Saône,0,2505,0,0,0,2505,122659.66,125164.66,1777.676231884058,1813.9805797101449
01024,Attignat,0,168247,1475,0,0,169722,2063216.7999999998,2232938.8,600.6453566229985,650.0549636098981
01025,Bâgé-Dommartin,0,170462,0,0,0,170462,1502131.1,1672593.1,461.2008289837274,513.5379490328523
01026,Bâgé-le-Châtel,0,42836,0,0,0,42836,514652.6,557488.6,550.4305882352941,596.2444919786096
01027,Balan,0,18436,0,0,0,18436,1377232.85,1395668.85,446.8633517196626,452.8451817001947
01028,Baneins,0,13521,0,0,0,13521,369277.79,382798.79,621.6797811447811,644.4424074074074
01029,Beaupont,0,16765,2519,0,0,19284,387513.82,406797.82,567.3701610541727,595.6044216691068
01030,Beauregard,0,10478,3774,0,0,14252,504323.26,518575.26,554.2013846153847,569.862923076923
01031,Bellignat,0,31803,0,0,0,31803,4107811.06,4139614.06,1063.6486431900569,1071.8834955981356
01032,Béligneux,0,40562,0,0,0,40562,1554108.58,1594670.58,459.25194444444446,471.2383510638298
01033,Valserhône,573568,0,35586,0,0,609154,17697068.58,18306222.58,1468.392680053103,1518.9364902090938
01034,Belley,0,286634,0,0,0,286634,10082981.11,10369615.11,1077.9325539875988,1108.575487491982
01035,Belleydoux,0,12907,0,0,0,12907,264294,277201,800.8909090909091,840.0030303030303
01036,Valromey-sur-Séran,0,27136,0,0,0,27136,332183.45,359319.45,594.245885509839,642.7897137745975
01037,Bénonces,0,22784,8062,-1380,0,29466,388706.68,418172.68,1359.1142657342657,1462.1422377622378
01038,Bény,0,21095,4200,0,0,25295,506056.79000000004,531351.79,675.6432443257678,709.4149399198932
01039,Béon,0,7442,0,0,0,7442,374519.18,381961.18,778.6261538461538,794.0980873180873
01040,Béréziat,0,10205,1184,0,0,11389,232495.83,243884.83,481.3578260869565,504.93753623188405
01041,Bettant,0,8385,0,-8605,0,-220,441626.31,441406.31,579.5620866141733,579.2733727034121
01042,Bey,0,5928,0,0,0,5928,169870.93,175798.93,608.8563799283154,630.1036917562724
01043,Beynost,0,40655,0,0,0,40655,5122153.9,5162808.9,1100.3552953813105,1109.0889151450056
01044,Billiat,0,10454,0,0,0,10454,739015.83,749469.83,1221.5137685950413,1238.7931074380165
01045,Birieux,0,9992,0,0,0,9992,243096.21,253088.21,824.0549491525423,857.9261355932204
01046,Biziat,0,46781,21916,0,0,68697,443855.74,512552.74,532.8400240096038,615.3094117647058
01047,Blyes,0,0,0,-23222,0,-23222,1021050.21,997828.21,1023.0964028056112,999.8278657314629
01049,La Boisse,0,27218,0,0,0,27218,1959365.86,1986583.86,655.7449330655958,664.8540361445783
01050,Boissey,0,9992,9718,0,0,19710,229751.13,249461.13,696.2155454545455,755.9428181818182
01051,Bolozon,0,0,0,0,0,0,196277.07,196277.07,2133.4464130434785,2133.4464130434785
01052,Bouligneux,0,10419,0,0,0,10419,225055.35,235474.35,742.7569306930693,777.1430693069307
01053,Bourg-en-Bresse,1894682,0,181355,0,0,2076037,58582301.22,60658338.22,1364.3780706616672,1412.7288403940656
01054,Bourg-Saint-Christophe,0,22416,0,-13365,0,9051,736828.6,745879.6,557.3590015128593,564.2054462934947
01056,Boyeux-Saint-Jérôme,0,11556,3676,0,0,15232,222171,237403,580.0809399477807,619.8511749347258
01057,Boz,0,11035,6397,0,0,17432,283717.9,301149.9,543.5208812260537,576.9155172413793
01058,Brégnier-Cordon,0,14416,0,8876,0,23292,998607.77,1021899.77,1129.646798642534,1155.9952149321268
01059,NA,0,6113,3139,0,0,9252,244393.85,253645.85,2519.524226804124,2614.9056701030927
01060,Brénod,0,36592,0,0,0,36592,419078.37,455670.37,744.3665541740675,809.3612255772647
01061,Brens,0,14672,0,0,0,14672,812927.93,827599.93,669.6276194398682,681.7132866556838
01062,Bressolles,0,10513,0,0,0,10513,569749.11,580262.11,664.8180980163361,677.0853092182031
01063,Brion,0,0,0,0,0,0,850406.23,850406.23,1632.2576391554703,1632.2576391554703
01064,Briord,0,26050,0,-17042,0,9008,1172642.64,1181650.64,1188.0877811550151,1197.2144275582573
01065,Buellas,0,24171,0,0,0,24171,1158626.97,1182797.97,642.2544179600886,655.6529767184036
01066,La Burbanche,0,8635,0,0,0,8635,127374.97,136009.97,1794.013661971831,1915.63338028169
01067,Ceignes,0,9223,0,0,0,9223,231138.45,240361.45,843.5709854014599,877.2315693430658
01068,Cerdon,0,19963,10579,0,0,30542,414896.94,445438.94,534.6610051546392,574.0192525773195
01069,Certines,0,22574,0,0,0,22574,963214.94,985788.94,637.0469179894179,651.9768121693121
01071,Cessy,0,59169,0,0,0,59169,4183657.2699999996,4242826.27,843.4792883064515,855.4085221774193
01072,Ceyzériat,0,125630,0,0,0,125630,1916464.68,2042094.68,607.8226070409133,647.6671994925467
01073,Ceyzérieu,0,59901,0,0,0,59901,701059.39,760960.39,672.1566538830298,729.5881016299137
01074,Chalamont,0,149499,32994,0,0,182493,1673620.51,1856113.51,685.3482841932841,760.0792424242425
01075,Chaleins,0,23350,0,0,0,23350,983019.35,1006369.35,776.4765797788309,794.9204976303317
01076,Chaley,0,4354,4694,-1067,0,7981,231589.64,239570.64,1503.8288311688314,1555.6535064935065
01077,Challes-la-Montagne,0,8405,0,0,0,8405,160237.4,168642.4,856.8844919786096,901.8310160427807
01078,Challex,0,15412,0,0,0,15412,1409638.91,1425050.91,1011.9446590093323,1023.0085498923187
01079,Champagne-en-Valromey,0,96550,19454,0,0,116004,754241.44,870245.44,890.485761511216,1027.4444391971665
01080,Champdor-Corcelles,0,61497,4985,-4529,0,61953,790114.41,852067.41,1148.4221075581395,1238.4700726744186
01081,Champfromier,0,23024,0,0,0,23024,1087342.58,1110366.58,1459.5202416107384,1490.4249395973156
